"","valgen","crotal","canac","crotalM","crotalP","partos","litros"
"80629",17.1,80629,18,8587,65024,5,0
"80634",47.02,80634,18,65222,98595,5,0
"80642",-2.89,80642,18,40313,65018,6,0
"80683",-5.62,80683,18,33893,0,5,0
"80690",13.22,80690,18,40680,65007,6,0
"83387",1.98,83387,17,16544,51517,6,0
"83390",14.48,83390,17,33872,51517,7,0
"83392",-11.69,83392,17,28772,30223,6,0
"83413",-14.54,83413,17,30561,61011,5,0
"83416",3.02,83416,17,16528,84179,6,0
"83433",19.86,83433,17,40641,51508,7,0
"7784",65.33,7784,20,80616,51529,0,0
"7785",8.88,7785,20,55666,65023,0,0
"10081",34.61,10081,24,72356,2128,0,0
"10095",40.32,10095,24,7775,91235,0,0
"10108",35.51,10108,24,7748,2128,0,0
"10120",39.03,10120,24,7740,91235,0,0
"10129",44.46,10129,24,56414,91235,0,0
"10135",43.36,10135,24,80624,91235,0,0
"10139",44.68,10139,24,7770,2115,0,0
"10161",48.56,10161,24,14795,2115,0,0
"10173",27.5,10173,24,14806,0,0,0
"14760",22.49,14760,21,83433,91469,0,0
"14761",16.25,14761,21,80670,91063,0,0
"14762",4.17,14762,21,80669,91077,0,0
"56479",22.41,56479,19,40679,20052,0,0
"72320",18.22,72320,22,80697,64878,0,0
"72335",23.76,72335,22,7761,64878,0,0
"80617",25.28,80617,18,40618,98595,0,0
"80641",1.62,80641,18,40617,98527,0,0
"91361",25.86,91361,23,83388,2128,0,0
"91362",25.78,91362,23,80624,64878,0,0
"91363",24.81,91363,23,7777,2128,0,0
"91427",106.48,91427,24,0,0,0,0
"99056",30.71,99056,23,7750,64878,0,0
"99069",47.82,99069,23,56387,2115,0,0
"99081",40.76,99081,23,7740,2115,0,0
