"","valgen","crotal","cana","npartosULT","fechapartoULT","nvivosULT","ncontrULT","diasULT","ordeULT","tipoULT","laPROM","diasPROM","orderPROM","tipoPROM","acumPROM"
"110","3,97","72322","22","1","09/02/2024","1","5","169","137","113","1","169","137","113","137"
"111","16,32","72325","22","2","15/03/2024","1","5","137","162","158","2","138","132","131","264"
"112","35,26","72326","22","1","06/01/2024","1","6","203","261","210","1","203","261","210","261"
"113","18,22","72331","22","1","05/01/2024","2","6","204","169","139","1","204","169","139","169"
"114","-5,19","72332","22","2","15/03/2024","1","5","137","143","139","2","123","107","116","214"
"115","22,08","72333","22","1","09/01/2024","1","6","200","136","122","1","200","136","122","136"
"116","4,56","72337","22","1","08/01/2024","1","6","201","160","122","1","201","160","122","160"
"117","28,22","72338","22","2","02/02/2024","1","6","176","183","208","1","176","183","208","183"
"118","31,15","72339","22","1","09/01/2024","2","6","200","231","161","1","200","231","161","231"
"119","17,39","72340","22","1","08/01/2024","3","6","201","265","216","1","201","265","216","265"
"120","17,7","72342","22","1","07/01/2024","2","6","202","222","145","1","202","222","145","222"
"121","14,25","72343","22","1","26/01/2024","1","6","183","225","155","1","183","225","155","225"
"122","16,34","72344","22","2","28/03/2024","1","5","137","159","156","2","123","129","135","258"
"123","11,5","72345","22","1","25/01/2024","1","6","184","219","177","1","184","219","177","219"
"124","28,46","72346","22","1","08/01/2024","1","6","201","156","93","1","201","156","93","156"
"125","21,88","72347","22","1","06/01/2024","2","6","203","191","159","1","203","191","159","191"
"126","12,6","72348","22","2","07/01/2024","1","5","202","154","134","1","202","154","134","154"
"127","17,88","72349","22","1","19/04/2024","1","4","105","104","144","1","105","104","144","104"
"128","32,9","72350","22","1","01/02/2024","1","6","177","239","217","1","177","239","217","239"
"129","11,2","72351","22","1","08/01/2024","1","6","201","174","135","1","201","174","135","174"
"130","-3,29","72352","22","1","06/02/2024","1","5","172","125","97","1","172","125","97","125"
"131","33,2","72353","22","1","08/02/2024","1","6","171","193","193","1","171","193","193","193"
"132","23,88","72354","22","1","28/04/2024","1","4","105","74","95","1","105","74","95","74"
"133","50,87","72355","22","2","09/01/2024","2","4","140","197","215","2","152","188","186","375"
"134","31,5","72356","22","2","06/01/2024","2","6","203","224","194","2","184","178","166","355"
"135","6,01","72357","22","1","10/01/2024","1","6","199","126","102","1","199","126","102","126"
"136","35,97","72359","22","1","07/01/2024","2","6","202","219","221","1","202","219","221","219"
"137","21,52","72364","22","1","05/01/2024","2","6","204","210","157","1","204","210","157","210"
"138","34,85","72365","22","2","07/01/2024","1","6","202","231","185","2","155","177","170","354"
"139","52,99","72366","22","1","07/01/2024","1","6","202","254","224","1","202","254","224","254"
"140","12,9","72367","22","1","27/01/2024","1","6","182","179","171","1","182","179","171","179"
"141","15,93","72370","22","1","26/01/2024","1","6","183","167","151","1","183","167","151","167"
"142","35,13","72374","22","1","07/01/2024","2","5","171","210","159","1","171","210","159","210"
"143","22,22","72376","22","1","08/01/2024","2","6","201","253","204","1","201","253","204","253"
"144","29,69","72378","22","1","25/01/2024","1","6","184","222","211","1","184","222","211","222"
"145","21,36","72379","22","1","29/01/2024","1","6","180","139","115","1","180","139","115","139"
"146","6,59","80610","18","6","28/01/2024","1","6","181","125","120","5","169","152","145","760"
"147","-10,9","80623","18","6","17/01/2024","2","5","192","129","131","5","164","144","139","720"
"148","35,67","80624","18","6","09/01/2024","1","6","200","230","229","4","187","243","225","971"
"149","-2,57","80631","18","5","21/01/2024","2","6","188","281","252","4","176","185","155","741"
"150","-0,52","80639","18","5","06/01/2024","2","6","203","201","165","4","183","198","183","791"
"151","10,01","80646","18","6","05/01/2024","2","6","204","200","131","4","185","212","172","846"
"152","10,07","80650","18","6","05/01/2024","1","6","204","156","100","4","184","186","155","742"
"153","25,01","80659","18","5","07/01/2024","2","3","111","147","192","3","145","154","170","462"
"154","21,12","80661","18","5","09/02/2024","1","5","169","161","141","4","167","192","168","768"
"155","8,16","80663","18","5","06/01/2024","3","6","203","223","198","5","187","201","166","1004"
"156","6,53","80669","18","6","26/01/2024","2","6","183","190","154","4","178","193","165","772"
"157","-12,18","80686","18","6","08/01/2024","2","6","201","155","108","4","156","151","149","605"
"158","-5,24","80692","18","6","23/01/2024","2","6","186","186","180","5","180","154","145","772"
"159","5,19","80693","18","5","09/01/2024","2","5","200","233","202","5","180","193","167","963"
"160","9,66","80697","18","6","10/01/2024","1","4","139","55","68","6","167","153","164","919"
"161","-14,54","80698","18","5","23/01/2024","1","4","126","89","107","4","164","134","123","534"
"162","5,54","83384","17","7","25/01/2024","1","5","153","181","132","5","178","221","170","1103"
