"","valgen","crotal","cana","crotalM","crotalP","npartosULT","fechapartoULT","nvivosULT","nmuertosULT","ncontrULT","diasULT","ordeULT","tipoULT","laPROM","diasPROM","orderPROM","tipoPROM","acumPROM"
"110","","10155","24","56418","2119","*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"111","","10156","24","56387",NA,"*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"112","","10157","24","72348","91280","*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"113","","10158","24","14813",NA,"*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"114","","10159","24","72315","91461","*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"115","","10160","24","72359","91093","*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"116","","10162","24","56429","2134","*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"117","","10163","24","72357","91280","*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"118","","10164","24","83420",NA,"*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"119","","10165","24","80659","91235","*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"120","","10166","24","56458","2134","*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"121","","10167","24","7761","2122","*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"122","","10168","24","14815",NA,"*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"123","","10169","24","33828",NA,"*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"124","","10170","24","72333","91461","*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"125","","10171","24","7733",NA,"*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"126","","10172","24",NA,NA,"*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"127","","10174","24","14811","2181","*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"128","","10175","24","7778","91272","*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"129","","10176","24","99119",NA,"*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"130","","10177","24","99126",NA,"*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"131","","10178","24","72331","91461","*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"132","","10179","24","7732",NA,"*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"133","","10180","24","72322",NA,"*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"134","-6,19","14764","21",NA,NA,"3","07/01/2024","1",NA,"6","202","161","120","2","187","173","138","345"
"135","19,41","14767","21","8665",NA,"3","07/01/2024","2",NA,"6","202","214","200","3","173","172","153","515"
"136","11,16","14768","21","40601",NA,"2","20/03/2024","2",NA,"5","137","183","180","2","162","169","140","337"
"137","26,51","14769","21","8666","2146","2","08/02/2024","1",NA,"6","171","226","197","2","184","238","181","475"
"138","12,78","14771","21","80694","91105","3","25/01/2024","1",NA,"6","184","263","208","3","140","179","153","537"
"139","10,49","14775","21","80636","65018","2","09/01/2024","2",NA,"6","200","138","121","2","199","156","120","311"
"140","0,46","14776","21","80622","91063","2","",NA,NA,"","","","","136","75","72",NA,""
"141","10,15","14777","21","8589","2129","3","29/01/2024","2",NA,"6","180","201","214","3","153","130","133","391"
"142","30,48","14778","21","83424",NA,"3","28/03/2024","1",NA,"5","137","194","242","2","151","183","197","365"
"143","22,15","14779","21","80629","91469","3","10/02/2024","1",NA,"","","","","196","163","131",NA,""
"144","9,01","14784","21","40611",NA,"3","08/01/2024","1",NA,"3","110","109","138","2","108","110","137","219"
"145","17,68","14785","21","40677",NA,"3","09/01/2024","2","2","","","","","135","120","125",NA,""
"146","44,38","14787","21","55683","91080","3","10/02/2024","1",NA,"","","","","161","187","159",NA,""
"147","-12,7","14788","21","40641",NA,"3","25/01/2024","1",NA,"6","184","173","140","3","151","119","113","358"
"148","9,81","14789","21","83389",NA,"2","24/01/2024","1",NA,"3","94","130","190","2","136","156","171","312"
"149","11,37","14790","21","80694","91105","3","24/01/2024","1",NA,"6","185","257","203","2","182","234","169","468"
"150","6,55","14791","21","33887","2129","2","30/01/2024","2",NA,"6","179","140","160","2","177","158","153","316"
"151","30,29","14792","21","56448","2187","3","14/02/2024","2",NA,"5","164","212","165","3","130","165","166","495"
"152","42,62","14795","21","80687","91080","2","08/01/2024","2","1","6","201","306","272","2","197","226","200","452"
"153","0,04","14796","21","40620","2129","3","09/01/2024","2",NA,"6","200","164","148","2","177","162","131","323"
"154","7,69","14797","21","40620","2129","3","05/01/2024","2","1","","","","","197","197","127",NA,""
"155","","14798","21","83387","2146","2","09/01/2024","1",NA,"","","","","","","",NA,""
"156","12,87","14801","21","55672",NA,"3","25/01/2024","1",NA,"6","184","207","169","2","182","185","159","369"
"157","25,47","14802","21","83418","98595","3","08/01/2024","2",NA,"6","201","238","209","2","154","174","169","347"
"158","30,25","14803","21","55697","91087","1","",NA,NA,"","","","","196","222","164",NA,""
"159","5,44","14804","21","8627","91063","2","",NA,NA,"","","","","121","123","119",NA,""
"160","36,39","14806","21","8654","91087","2","23/01/2024","1",NA,"6","186","304","234","2","135","208","195","415"
"161","12,45","14810","21","8602","2146","2","23/01/2024","1",NA,"3","95","93","136","2","136","145","165","290"
"162","32,63","14811","21","55689",NA,"2","05/01/2024","3",NA,"6","204","330","239","2","200","283","212","565"
"163","18,47","14812","21","83388",NA,"3","07/01/2024","1",NA,"6","202","194","177","3","161","146","134","438"
"164","4,22","14813","21","80692","65018","2","21/01/2024","1",NA,"6","188","161","110","2","176","138","94","276"
"165","9,11","14815","21","56408","2187","3","27/04/2024","2",NA,"3","91","105","139","3","110","88","107","264"
"166","10,94","14816","21","40601",NA,"3","22/01/2024","1",NA,"6","187","206","193","2","182","206","168","411"
"167","-23,08","33828","14","65180","98510","10","09/02/2024","2",NA,"","","","","157","121","126",NA,""
"168","-1,74","55667","17","33831","98536","7","06/02/2024","1",NA,"6","172","118","148","4","154","118","129","471"
"169","6,08","55668","17","40679","98551","7","11/04/2024","1",NA,"4","107","60","69","7","171","167","129","1167"
"170","-8,73","55673","17","40675","51527","7","16/01/2024","2",NA,"6","193","192","144","5","182","157","119","785"
"171","1,02","55676","17","28756","98536","7","06/01/2024","1","1","","","","","188","182","165",NA,""
"172","-6,48","55677","17","33832","51512","6","17/01/2024","1",NA,"3","101","124","162","5","141","126","151","631"
"173","15,09","55680","17","30581",NA,"5","09/01/2024","1","1","","","","","171","218","215",NA,""
"174","39,03","55682","17","30564","84179","7","04/01/2024","2",NA,"3","114","117","150","6","161","200","216","1202"
"175","25,58","55683","17","65165",NA,"7","07/01/2024","1",NA,"3","111","103","142","7","153","172","181","1206"
"176","7,82","55684","17","40685","61011","7","02/03/2024","1",NA,"5","147","65","64","5","168","159","150","796"
"177","8,23","55685","17","33856","98551","7","11/01/2024","1",NA,"","","","","174","184","169",NA,""
"178","3,06","55690","17","30616","51508","7","31/01/2024","1",NA,"","","","","162","129","125",NA,""
"179","-2,08","55695","17","33809","51511","7","07/01/2024","2","2","6","202","102","53","5","181","208","163","1042"
"180","-12,76","55696","17","28846",NA,"6","17/02/2024","1",NA,"4","111","39","54","4","148","97","104","389"
"181","17,69","55697","17","30570","51517","7","05/01/2024","2","1","6","204","160","121","7","189","210","177","1470"
"182","-1,31","55698","17","16532","61016","7","11/01/2024","2",NA,"","","","","153","129","138",NA,""
"183","6,01","55699","17","40686","51519","7","19/01/2024","1",NA,"6","190","116","119","5","156","134","144","668"
"184","14,05","56384","19","33905","20052","5","07/01/2024","2",NA,"1","45","","","155","183","150",NA,""
"185","41,14","56387","19","30592",NA,"4","25/01/2024","1",NA,"6","184","247","199","4","185","244","220","977"
"186","8,42","56394","19","33826","71145","4","10/03/2024","1",NA,"5","139","141","110","4","170","175","151","700"
"187","27,82","56395","19","8654","40086","5","26/01/2024","1",NA,"6","183","185","178","4","172","220","206","879"
"188","11,41","56398","19","83421","71064","5","09/01/2024","1",NA,"6","200","198","155","5","152","165","132","827"
"189","15,76","56400","19","55672","60357","4","08/02/2024","1",NA,"","","","","173","192","179",NA,""
"190","10,51","56401","19","33887","64872","5","28/01/2024","2",NA,"6","181","213","222","5","140","148","157","738"
